Country Name,Country Code,Energy use (kg of oil equivalent per capita) 2015,"GDP per capita, PPP (current international $) 2015",CO2 per capita (ton CO2/cap) 2015
Sao Tome and Principe,STP,264.6,3086.0,0.7
Samoa,WSM,318.6,5831.5,0.7
Tajikistan,TJK,339.9,2851.7,0.6
Ghana,GHA,331.8,4044.4,0.6
Cameroon,CMR,335.2,3442.7,0.6
Benin,BEN,416.8,2122.2,0.6
Cambodia,KHM,416.8,3513.8,0.6
Senegal,SEN,279.2,3205.9,0.6
Nigeria,NGA,763.6,6072.5,0.5
"Yemen, Rep.",YEM,328.7,3320.1,0.5
Bangladesh,BGD,229.2,3451.4,0.5
Cote d'Ivoire,CIV,612.6,3444.4,0.5
Myanmar,MMR,369.3,5372.2,0.5
Sudan,SDN,380.9,4552.0,0.4
Kenya,KEN,506.0,2988.1,0.4
Togo,TGO,462.5,1567.0,0.3
Haiti,HTI,393.7,1766.0,0.3
Lesotho,LSO,9.6,3062.1,0.3
Afghanistan,AFG,90.0,1886.7,0.3
Vanuatu,VUT,159.5,2955.0,0.3
Kiribati,KIR,114.0,2110.1,0.3
Zambia,ZMB,645.0,3927.8,0.3
"Gambia, The",GMB,81.1,2376.5,0.3
Comoros,COM,63.9,2664.3,0.2
Mozambique,MOZ,442.7,1354.4,0.2
Tanzania,TZA,497.1,2791.0,0.2
Nepal,NPL,434.4,2621.8,0.2
Timor-Leste,TLS,58.9,8177.9,0.2
Guinea-Bissau,GNB,67.3,1574.5,0.2
Solomon Islands,SLB,130.0,2235.8,0.2
Eritrea,ERI,236.3,2103.0,0.1
Ethiopia,ETH,493.1,1621.7,0.1
Niger,NER,150.0,964.8,0.1
"Congo, Dem. Rep.",COD,389.3,867.1,0.1
